# Кураторский список {account}<TAB>{name} для ninja /character API.
# Один билд на строку; # = комментарий. Разделитель: tab (или , | /).
# Расширяется из https://poe.ninja/poe1/builds/mirage через web-search индексацию character-страниц.
# Стратификация по классам/архетипам для ML-корпуса.

# === seed (автор) — Pathfinder ===
heygyus-0416	ResurrectSanest
MseIOvnQii-3437	Rot_Ebal_Bydlo_Blyat
Mugaro-1201	SoundOfMonstersDying
Mumbleland-0222	토토토토템은즐거워
MummyX-3709	Mummy_Cyc
MurMeowYaPodoh-9647	PKHPKH
N0ox96-0420	MirageLeckMeinArsch
NANDSONGAMEPLAY-5729	NANDSONAURABOT
NIP-3005	BBGBBW
NT_xSUBx-6092	ЗлойДяДя
NaiMeRZ-1058	NaiMeRZ_MRG
Naki_8-2993	Wander_NK
Namnapoe-7889	Mira_Mirageee
Narthatabe-7559	Mirage_DiFFoi
Nativelol-7355	Bwana_Temp
Natuking-6781	K_nachodeeeesu_F
Nausinous-0617	Nothing_UberMasacre
Navarroduffs-3446	LoopMirage_FNG
NeTraFim-1676	Mirage_Netra
Nearcc-6598	去码头整点烧烤
NecessaryEviI-4817	kent_palca_v_jope
NecrophosD-0734	АЗнаешьДеньгиБудутъ
NegiGema-2986	Afk_Yiki
Nehikkagych-9251	从凵凵凵凵凵
NeilHumanBreen-2739	MirageKingGoldnatz
NekoMan-2779	NekoStrStacker
Nekronuss-4544	ТЁТЯ_ГРУША_
Neobang-7000	Fortifiac
NeohunmanCasShern-3527	LaGataBajolaLluvia
Nepchaa-3044	aaaasasasasa
NeraBePossible-6986	de_miraaaage
Nerelop-0291	SpaceWalkerTwoTown
Neruaу-6007	Hobotunchick
NigelWDS-2481	MirageNWDS
Nijianguoguo-4308	我要开闪
NikitankBombas2003-6127	Добрый_динозавр
Nikkokicko-7201	NikMadeInKorea
Ninilagiraffe-7834	GoldenTungTungTungSahur
Ninjiaso-1301	孤独富有的穴居人
Nistrzyciel-3518	MknijGibkiSzadole
Nitespear-0325	Nite_Poisonous
Noletal-1516	DedBubble
Nomis385-6512	FinallyGood
Noobicabra-1368	NoobiPop
Norbercikkox-5078	playdeadpuppy
North_West_Nowind-6320	西北弓弓弓
Nosfel2atu-0741	Nawawi_Mirage
Notrum666-1738	Notrum_PseudoAutoIII
NyarWasTaken-7619	average_keepers_hater
Nyiou-7641	Nyu_Carry
Nymphabean-1884	Nymph_PayMe
OSNS-7782	NOO_BA
OZWarlord-0239	PROJECTSATORUJASONGOAT
Obslittle-7769	ДжанГлотВротДал
Octobro-3888	GodHatesEveryone
OfMudkipz-5992	エレベータープラン
OgnjenGOD-7041	Simul_acrum
OhHeyCindy-5100	ДенисХамитов
OldDudeGarou-2904	Mirage_Auraboter
Olivier-7211	Olivier_MIRAGE
OneTeam-3076	MirageRion
Onepencilarmy-7668	OPA_Mirage_I
Orangecute-2610	bigmootoo
Orlez-0199	RLZ_SHDW
OvercastSnake58-5263	ExpertOnLobotomy
POOGF_01-1987	AuA_Pooogf
POPAZITRON-4956	TTVchistosasniy
PackandEXC-1952	PackandMirage
Pacto_-2298	Pacto_Mirage
Paliculin-5588	CertifiedMiner
Pandaz1111-4315	PovertyFlavored
Papillon2830-6161	Papillon_MRG
PathOfShalti-0065	MIR_Shalti
Path_Diapason-7707	猿神牛逼
Pav3n-1676	Pavenhit
Pawczenzz-6305	Pablo_Mirage
Pblt-4382	Pink_TrugbildBube
PerplexAUT-1226	MirageBanner_
Petrovichh-0237	TwentyBlast
Phnx-6228	PhnxMirage_
PhoKingHai-5103	PhoKingHai
Piecez-6848	tatodile
Pilkapet-1298	CsapoPali
Pinguflingu-4797	PinguTwice
PitHanteR-5324	AlbertRicksMirage
Pizdexx-5220	RenaFoxy
Pladins-4222	Manmanmonman
Pniz-2502	P_Djinni
Pocky18BaTH-3565	John_D_Sevene
PoeOneFirstTime-9497	InimusMirage
PooDamage-4721	MapSellerPoo
PorkDF-5130	Pork_Mirage
Poteitik-3151	GarfSkinEnjoyerrr
Pouleeet-7134	Zeeboub_BrandAgain
Poupoule-6995	TheyToldMeToCry
PourToujoursLumineux-6619	Res_KBD
Power_Des-7159	PowerMirage
Preference2-0955	Lights_out_n_away_we_go
Primmieq-6336	ㅤㅤㅤㅤㅤㅤㅤᅠㅤㅤㅤㅤㅤㅤㅤㅤᅠㅤㅤ
ProKillz-5416	MouthBreatherr
Proeminence-6811	BehindRick
Proeminence-6811	GetChaosFucked
Protonos-5490	Flickachilo
Pruonna-7014	Kurayaminokumo
Psih225-6389	Wercff
PupYp-2782	masterspice
Pwncakes-7616	wideLOADpog
PyredQc-1521	PyredQc
QAQ3344-0966	大水怪啊
QKV-3349	MIR_QKV
Qouve-0807	OneDodgeQouve
Qrabik678-6701	Mirage_KBshka
RONIN207-8805	ronincch
RThangNGZ-0466	TnZ_BV
Raazen-0348	RaazenFastFortyForty
RaffiNoS-3985	Raff_Monjulika
Ragholkiin-2874	SnickerNicker
Raidoc-0594	RaidsMamba
Rainyjunedays-5324	BUFF_MAMBA_PLS
Rainytime-6245	salampepe
Ramymn-7254	Hillingar
RandomName-3722	ラヴスパイスライクユー
RandyJennings192-9378	fsagfasgasgsadfsa
Rasmusthenoob-6122	Rasmus_Kalandrification
Ratchethz-2673	LongNeckLongRod
RatherThanU-5977	ПоцелуйМоюВардлупу
Raxed-6723	RaxxedMirage
Rayfry-7711	kikibouba
Razelim-4815	Buff_Mi_Rage
Razleraz-1044	RankOneDomBlowDemon
Red_Cursed-5382	冂口山仨几_廾丹乂丫认认
Redpaws-3764	RedCactuar
Reforge-2372	Dopelganger
Repeatx-5417	BestLeagueSinceKalandra
Repeatx-5417	SpectreCuckChair
ReptilianKing-7032	BleggColdNado
Reptopry-5879	AutisticAim
Revertition-3502	glorpslorp
Riannonnn-1500	Thunfischshake
RikaTakanashi-2769	Пятачковый_Визг
Rinklex02-3031	デルール農家
Riyu-0407	Riyumare
Romitomi-2007	forfof
Rompetoto-6364	mir_schmecktPizzaehnich
Ronkas3-4964	ronkaskboc
Ronron-4470	HanGhost
Roseguy-5953	HeaviusInaTentacult
Roxalzz-7475	Roxalz_ColdFishWife
Roziak-1890	KillaSlamie
Rryojin-4367	PconcEnjoyerWW
Rudeura-5196	Fyrkalka
RueRue-0023	RueTube
Runner4ever86-4480	FatalFinalForm
Rxktz-3179	Rekt_Mirage
Rybsson123-1415	RybssonAssAssIn
S1innabar-7678	HATEANDAPATHY
SApipideq-6992	proctokect
SBGGG-2183	用毒蛇的毒毒毒蛇毒蛇会不会被毒死
SOMAYD-2249	SomaydCRACKED
SSIOLBANG-7458	Mirage_SSIOL
Sacary-0250	EleHitMetaCuck
Sachiyostro-6417	SachiMRGHolyHammer
Salcee-4502	Tjsugachubunc
Sallynátor-5847	Big_Chongus_Sally
SammytheGerbil-8808	Kaboom_kablow_Kaboom
Sanditon-7760	Sanditon_Occy
Sane4uk777-9021	入丫长
Satan__God-6016	АбрикосовыйБарон
Sawiorek-3502	HerTakina
SayonaraPrime-5914	ShrineWander
ScarfofWonder-3316	Scarf_Mirage
Schnurspringer-7220	rdnnnNMR
Schoppus-1988	Schoppilade
Scoops-6923	BoogiesLover
Sdywen-4853	fortifkex
Sealeet-1031	BUBZ_NOHONORMINION
SebK-1988	SebMirage
Secretful-0112	Secretless_AuraChamp
Sedu18-2697	Wanderlei_Ogho
Seijtzzz-4782	SeijtzMaaz
SensaçãoDeDesespero-4682	MenteMaluca
Sensis-0561	SensisBaitedKFTotem
Serega686-3614	SerMirag
Sergohero-2699	SergoheroMirage
Serpent804-9275	SerpentAura
Servion-0871	Grimm_MRG_EH
Setern-6968	FnkyKF
Sh0tmedown-3466	VDisnotGreatAgain
Shadai1305-6667	Shadai_I_Miss_Her
Shade_02-7818	shadekul
ShairoNN-4081	Meowshiro
ShakeMehHand-2782	BeecupMakeAHouse
Shark3pepper-3997	Mirage_lrvins
ShawarmaFury-6266	ShawarmaFury_____m_hroc
SheikBlock-6420	klops_Mirage
Shenroh-5906	Shenroh
Sheoul-2828	GloriousSlam
Shewieh-6350	MiragePenniePacker
ShinX_-4985	Dippiecaicai
ShinyBlue-6869	第三の人格ミニパク
Shiraga_ice-5995	shiraga_mirage_SSR
Shirosana-1396	Sorates_Mirage
Shishura-1037	Замир___Безгеев
Shnuffle-7461	de_mirage_bob
SiIhouettes-0632	Mirage_Garf
SifuWolfie-0456	芝士狼
Silvana634-6452	LooppyPooppy
SindWirLustig-2583	AulNightLong
Sintez-7966	SintezMirage
Sircrap5-3508	Colux_PainImprovement
Sirnonebaka-2474	БелочкаХудвинк
Sivolap-4880	DoubleTika
SjldHyskaris-4637	Mirage_SjldHyskaris
Skantexer-7627	CanIGetBigBOOM
Skik-1101	Skik_Dom
SkillshotsOP-4043	poopstinkbuttlolhehe
Skoaltin-0023	LordOfTheCrum
Skreewy-7816	icucker
Skretum-6366	Skretum_Cursed
Skuuully-0519	SkuuullyWarping
Skywz-7568	Kero_Mirage
SlaveOfLife-4019	НуДавайПробейМеня
SlayThePathOF-1320	LifeLikeThis
Sleepingbuns-0805	蒸蚌貓
SlipAnc-6236	xX_Homura_Akemi_Xx
Smashhead-3839	Smash_Explode
Smegmakiller-6988	Vitalik_Juk
SmittyTech-1448	Flask_Inebriation
Smoke_XiaoY-3859	Mirage_XiFFA
SnoweDot-1367	SnoweSinner
SoColdO_O-1989	ОБЫГРАТЬ_ГРЧ
Sober72-5195	DanyloKolbasenko
SoftlyAndQuietly-5252	Softly_Antifreeze
Sogaria-4335	AuraKitten_Gulpi
Solerann-0257	Soleran_Mirage
Solfegietto01-5697	Vite_
Sone85222-5786	我跟你說這隻會失敗
Songohan91-7150	__error
Sonjeba-4114	_oGC_
Soulur-1141	Soluiur
Sound0fNight-7749	MomentsOfCalm
SoupInterface-6033	RAM_Smuggler
Soverich-1317	Soverich
SparkMandrill-3229	CheeksMabunga
Sparksparks-2166	Shorts
Spasseren-0709	FRICCMILOWFRICKAJHATEEM
Spawn1986-6268	Fruitsalade
Specros-5717	drink_mirage
Speedov-1346	你知道吗
Splasharka-4084	dean_winchester_
Spoonguard2-8462	Spoonguardmirage
SpreeHD-5751	youreadumblittledog
Spyxou-1667	Chainmelee
Ssamaxi-7304	GolatvsMe
SstiicCK-2931	asd_qwe_fgh
SsunM-6266	Ssun_RV_เดิมๆ
Starry_2-7996	Starry_mirage
StellarFaris-4645	JUGGNEG
Steviecheese1-3331	BRRRRRR_Totem
Stockfishsh-7008	PoestockSendhelpp
Stokic11-7610	KrvavaTeglaOdAjvara
Stonesucer-1706	ProPewValkyrie
StopHun-6090	Mirage_Stophun
StormragerBF-1424	LongNeck_Gooner
StormragerBF-1424	Please_No_Bait_xD
Strelo4eg-6337	Cruor
StrifeGames-7424	StrifeCsMirage
Stwz-4678	SemenOoze_PickMeGirl
Sugarxx-4919	Магол
SunAraw-9899	el_MalaFyacho
Suplift-6647	Active_on_Sniffies
Surinasauva-0801	Mirage_Carry
Survive_Mweezy-0270	HaraamLIar
SvKPrOgaMer-4719	asdashxdsdgsdgsdg
SwallinHunterXXS-3033	АкробатикаКрасоты
Swordeen-1522	Vaetha
Synathras-3039	LordMontayo
TESS3RA-0397	RinneRebirth
TFlos-4542	RFWitchual
TMTQ_POE-3493	TMTQ
Tageron-4838	NordDivision
TakaVitaka_-4705	eladesaelasobinubali
Taluya-2627	MiragicalTalu
Tangggggg-4706	TangLovesSand
Tank_Destroyer-6374	SHORKY_Jackass
TarentPOE-0481	Tarent_Miraaaaage
Tato-2951	Tato_ChickenNuget
Ted15-7492	Cptn_Traps
TequilaKnight-1097	авыпварапрапапрапр
Terond2-0348	TerondWardBreak
Teslavi-7238	MirageTessie
TheAudioMan-0301	TheMusclesFromBrussels
TheChaCha-5047	AuraTalist
TheColdLionKing-4332	Avasa_BONK
TheDerpling-5586	smallppxdd
TheEyeOfSkadi58-3245	CertainDeath_X
TheFrankie-3637	CooldownRecovery
TheLastSamurai7-2663	SamuraiMirageMines
TheRauttis-1046	AcousticManIam
TheRealDreaddy-4515	Jeffs_FavoriteMiner
TheRealMaki-2248	DjinnMaki
TheRealSolenya-2850	MinionCuckOnceMore
TheRisenOne-2322	RizenMirage
TheTankoo-7692	TANKOO
The_MnBN-5971	LeonComedy
The_Second_Me-3127	The_Scion_Me
The_iPeX-3474	MoreManaLeft
Theusowns-2824	TheusMirage
Thewley-6390	enjin_s
ThisTehp-4812	Mirage_ThisTehp
Thorcall-0404	Thorcall_Cyclone
Thord88-2912	izl_no_experiments
Thuly-4589	Thuly_BaitedByCat
TiMe_To_FeeD-1483	SLAMINGGGGGG
Tideside-2603	KogseWitchAgain
Tigermastaaa-5162	LastKinggg
Tizzer40-4163	Tizzer_RushB
Toartmock-3233	IrgendwasMitHeiligUndSo
Toboun-5781	Toboun_Miraaaaage
Tobuigh-2084	Tobuigh_M
TommyBang-4089	Даёшь_Варда
TomorinZ-6018	TomorinMirageZ
TonyD92-3224	HuuUullLLkkkK
Tootsloots-1829	Tuttifruttip
TopDaw9-7048	TopDawg_Mirage
TopchillXD-5262	Topchill_FiveGoys
Torben21-2824	MiragicalVorxon
Torpedobear-1150	Aladinpakotti
ToucHWA-2753	TouchWa_Mirage
Toufuug-3101	Touflickzerker
ToughGuySmashingMobsHard-3771	SOMNOYDAVAYDUEL
Toysis-6805	ohshitheretheactsagain
Tralfik-2673	TralfCatBaited
Transvestor-0663	Evil_Rice
Trebi-0760	MagnusCarlsberg
Tricos1-3809	SparklingShrineMan
Triloy-4801	Cry_Auras
TrueBamfForever-1006	ManIamAcoustic
TrueZave-1315	Coach_Zavexds
Truflat-4032	SmallBigGuy
Trungnvtne-4558	trungnvtnehihihaha
Tupacolypse-4148	Rocko_EPIC_FURY
TurkeySteaks-2988	BaldGism
Turtl3Neck-1134	Lurikiurer
TwitchDapanoTv-1128	Dapano_lootingtheground
TwitchTVSpicysushi-7614	SUSHIWIDEFORFUB
Tydorian-6937	Mirage_Tydorian
Uelletiselanger-2636	KEST_CM
UnderDogUnBan-0712	JenyaGandonio
UniiTy-1334	Unii_Caarys_RV
Unk9own-6058	КлоповаяИнспекция
Uziness-5162	NumbNutsNgong
VEORST-0836	MR_VEORST
VadonCOD19-0068	nxsnvmsad
Vajra_11-5015	Mirage_Vajra
VanGutta-5187	onlyminsduhmanshavechin
Vedir-5686	Vedir_RFF
Vepa-4873	Veprage
Vesya-0953	Vesya_ZoneControl
Vezu-6049	VezuMirage
Vonaira-0218	Vonaira_Mirage
WSTN-3739	srhjfkdtsygxaerhzuj
Wababa-3943	TFE_NiuxGritameAhh
Waffle_Farmer-5554	Oi_Mi_Rage
WalkieWL-5513	WalkieW
Walmorn-1618	Wal_WillOWish
WardenOfHell-0669	KertyMirage
Warforger99-1206	BLTZxI
Waspoti-6628	Mirage_BigBuffs
Wastedwhitegurl-6350	PandaxD
Wazzlord-1286	Flickerijoo
Weedou16-1135	Dorodorothy
WeiLóng-0410	WeiLong_SixSeven
Whael-5379	WhAeL
WhatUWant-4959	____WhatUWant___
Whitespice-4467	WhitespiceBrenntsehr
WiNdowMaker8753-5108	Hyra_BloodBlaster_M
Wiisel-3821	Professori
Wiisel-3821	RampeKalas
Wille4781-1093	人祖传
Windchime-7198	NaraCLC
WisdomScroll-6244	SeriousGeeseOnTheLease
Woobowiz-2027	WoobyUnlimitedPower
Wreckids-2243	WreckKb
WztGjf-1792	ZttyW
XAntorX-7990	AntorMirage
XFIRE3-7758	GrimLover
XZKN446-5888	Monnn
Xalention-6576	Xal_FiveGoys
XavierHuynh-9651	manasupply
Xemerius__-5862	CRDraMirage
Xen0s-1227	Xenos_Mirage
Xenohoy-5458	Hoy_Mirage
Xeto_The_H-4275	Xerophs_The_Unending
Xevosh-5942	BABY_OIL_DETONATION
Xevron-4754	XevronBamboozlin
XiaoFu-0617	红绿蓝战队之大衬衫
XiaoLeChen-0809	Miragevipsmoke
XiaoMianMianx-3172	ChillUntilMEGABills
XioTheLiving-7077	beafhp
Xiyuan2581-1732	MinaWitch
Xovych-5072	XovychCommand
Xurry-6121	Mi_Aerie
YaSlon-2052	LaPulia__
YaTolya-5714	Kolya_Nastoyashiy
Yareb-4448	IDONTHAVEHANDS
YegerTon-0249	One_and_Only_Cutie
Yorkerk-4812	RighteousMaxxing
Yoshanai-1784	Yosh_Citizen
YucKube-5940	YucKube_Mirage
ZEDoslaw-1713	ZED_Mirage_Technician
ZOCHAA-2309	AUMAUM
ZSamboni-1890	PraetorRykard
ZVWARIOR-1817	tridvaodin
ZaDengiDa-4792	filiansbackflip
Zack12345-4719	BorisBigBoom
Zaluposlav228-5164	пасофкинетикпрайм
Zamdall-2953	YourDPSisAnIllusionExil
Zamow-6713	RevoDown
Zayku-4601	Zayku_Midnight
ZechsMerq-1777	ChaoticMirage
Zecutorian-1785	Sigmawalk_BB
ZeeHTM-0922	Zee_OrangeJuice
Zennerest-7471	TEN_days_TEN_mirrors
Zentralexekutive-2878	Zen_WieEinLoewe
Zeolotuss-7559	Zeolotus_mrg
Zepkl-3187	Tyrbo_GoreShockwave
Zerfallgesetz-6104	GroundLoot_Fury
ZeroMercer-3210	PandaMirage
Zerucos-2259	sylvexira
Zevilos-5990	ZeviBustingElements
Zhandia-7612	Zhandiaa
Zikiel-4921	Exsanginatus
Zileaner-7949	VermeilLivsky
Zionstar974-0412	Rhyo_Mirage
ZontableZz-4955	GinAndTonic
ZyRaN3x-6528	ZyRaNex_FiveGoys
_ULTRA-3035	MirageCrashMyStart
_Yemon_-4845	MiragicalBot
_tsM-6218	tsM_hole
a0900158852-0334	SQSQQSQS
a0926382612-6294	塔塔凱油
a19965806533-4853	WuWuii
a649152868-7933	Mirage_cacao
a79858268-0704	hagemyy
aaa223-6915	jjgn
abcAFCR-1392	mirageCHYSZWSCK
ad007poo-6319	还是辣个女人
adhambrb-4979	adhamyeppp
agnema-7797	aurabot_konfetkaodin
agreade-4007	epsen
ahmedholmes-5079	WITCHKOB
ahmedneedshelp-5294	ElebifienGalagawa
ajj6tur8ur-6529	Mir_CYK_Mine
alantir6488-5416	Tunzlantir
alexandreskart-7045	Alexandres_GN
alsiel-2616	In_Hell_We_Livee
amh2015-3604	BannerBait
amigo2333-5008	LowLaifuCWSWaifu
amonawrat-4349	breachdoer
anatosii-7025	Poterpi
andryspells-7827	empowerMyDPS
anexdt-6892	OneAboveAll_BlanK
angry0ldman-2160	WEESHNAW
anhdaubep2212-7693	ADBQuyZu
anhui64-7217	dabpuppyyy
animevoin98-2325	asdfasdfadsfadsf
ansonzhong305-3761	Mirage_HanLi
anthrix-1655	Yung_Rich_Squigger
anylle93-7218	MirageElehitSlayer
apple2062-5053	WEEAAAS
aretalogus17-1217	RoompelMrg
arfograf666-5285	KeshaMiraj
ariaprime-3049	IntensiveBrainDamage
arthropod_xd-0054	Jarvis_PullTheTrigger
asdlhn-4759	力爆王
ash21550-7133	Mirage_Ash_lOvOl
ashybreasta-5971	雪寶兒
askanier-3559	Askanier
atlonix18-3520	ManaGuard_Mirage
audiovoxx-3857	VexarMamba
auratvn-1134	auratvn
auzura-8182	Rio_LCDP
avoran-5783	Urbymental
awaXW-4565	果丹皮
azquanax-2129	GD_RF_MIRAGE
ba888ba-1553	MuscleAlwayswins
baconflurry-2986	Turd__Stacker
baidoweb-6765	KulemakBetonEnjoyer
balls123-2130	bollsasdf
baroro-9853	Baro_Stacking
bearbaron-4873	OONGABOONGA_GRANDPA
beedii-8627	OhLongJohnson_Mirage
beetz-7611	WardLoopBeetz
benko05-3362	pokakall
besastian-5880	besastian_kboc
betaheadhunter-3284	StarkerKnabe
biganalfissure-2433	fortifying_konfetkaodin
bigdaddysammy-2486	Armour_Messiah
bin5639-6388	donutJuggernaut
binichnich-6768	FaceplodeMCBoat
biolibi-1823	bio_mir
bioshok1991-7542	JonnyBoy
bisrota-2482	Deadeye_DeDustTwo
blackspeedd-1410	ESTOUVIAJANDO
blackstabath-4940	CataW
bladedyitien-4351	paidbyspd
blessing69-7683	ElReyCalvo
blightandtrade-4372	CurseAndRegret
blightingminions-5127	LongNeckProtec
bluemooncs-1195	AurabotHoldMyBeer
bmpssbmpss94013-0691	sdafasgfasg
bnce012-3667	cenceTormán
bo7like-3476	CoCAndVaalTorture
bob40477467-6321	CrispyPasta_Mirage
boj_-0874	claudesdoingmyjob
bonus_nush-0773	nuqapacuk
boomyo0000-2537	zerotozeroz
bottlehead93-3713	DontWorryBoutItCuh
brumz7-1626	Brumz_FreeFromDunes
brunomolas-4706	SaborBuild
bush_enjoyer-6014	evilfentdealer
bvckstich-2244	QADF
bysky1la-7950	patoxinion
bzoh-1692	sgnth
bzohkdyz-0349	tlXeonX
cainsandesuyo-7512	Cain_No_WardenWTF_Mrg
cap250m-0990	MRG_aura
casper1357-3893	JakeRulesTheSlongs
casualcarpet-4883	JonBeavers
cclemon-4830	wednesdaly
cdo-8085	RUCETINHA_BOSA
cedeoe-4115	cedeoe
chacha-6840	ChaChasm
champiq-9281	口匚片
chaosway-5244	ChaostylzMir
cheelos-2846	Milfs
chensixiao-0868	InstantWindowSmokes
chepuszxc-1754	Exloste
cheremunde-1233	DobroUtroShefeee
chimerashadowgarden-6383	尺丫囗丂卄丨
chinjot-6914	saiMARGE
chuba19-0534	Chuba__FiveGoys
ciper123-6672	MirageCiper
cleanerqt-6400	СьелиБабуМужики
cmshui111111-5159	worstMirage
cocorpes-0059	NoBrainNoDefense
coke_sis-0823	Winter_Mirage_RF
coke_sis-0823	Winter_Mirage_Shield
commandantpatate-5574	Karim_Al_Ezrhat
commiedebater-4504	MyPreciousBack
corosou-7048	Dorosc
cowba0421-3275	TMKF
cubixz-4648	cubixGoatAndrew
cyakimanbo-7191	まななお
cybrd-1708	CyBrDRandomMirage
czw1992-1238	laGSFJ
dFlour-6478	GIGACRANKEROVERLORD
damdus-3217	LebulGong
daniruhh-5585	ДаняБласт
dankcrab-2267	meowmwoemweowe
darks123-5964	erggs_ignites
daubnnusufar-4194	freestylerCLEANMYTOTEM
dedicated1453-4322	demara
dekir3-1782	MirageHime
delphindaes-7876	Dolphin_Aura_Midday
denyh123-4513	Vanyard_Mir
deqqa-2733	TpycukuCecTpbI
destinedeath-9404	YaniRinPrime
dgn00z-4743	feitancarry
diNZy-0404	Dinzy_Mirage
dikanul-7948	RattusS
dimkamarket-5873	AurabotFromAliexpress
djazr-1038	jaz_yuh
djfang-1006	HRoC_Never_Nerfed
dksdragon-1937	DKsMirage
dlslzlsl-7619	할배도시오후끼할수있다
dogasisivad-6747	bamatraps
doni0113-1788	시폭단에합류하라
doomsdayherb-5744	KrakenGlisten
dooth-1683	allIknowisslams
dr0lrev0-0159	slams_r_dead
drmoore718-7994	HeuristicAbsolution
dropmirrordi-3146	Orin_CarryForYou
dunao-2695	MRG_DunaoZwei
duonggiotai-2033	Dgtaido
duycongf-8358	baGtx
dvs_m0rph-4605	morph_DIVINE
dwawdqwqwdddd-5473	DEDUSHKA_ZOV
dygh_bh666-5716	Dygh_minka
dyslexia_have-5922	Deeleckseuh
eNHvI-7204	FreeezeWitherspoon
eRko16-3933	TheeRkoMirage
earthtimeza1-3238	PAHOasdzxc
eedve-6148	BangnYaWifeWhileUPlayin
egornadbaca14-2312	SMEGMEK
ehdgjsid-4812	관측기
ekxzist-5406	Pisu_GUN
elicitafk-6491	Timmytunner
eligogym-0408	onekfmirage
elkersivik-0590	CWS_VBNHRU
elliot1735-2647	God
emlued-5592	メルファリアに帰りたい
enjutu-4954	徳川埋蔵金が好き
entweder-0874	Miha๏Mirage
equal1zer49-4132	Beautiful_to_watch
erecnisnI-0920	erecnisnIMirage
erinowouwu-1419	RomBlasterX
esg_vann-1391	MirageGroundLootXdd
fEDESHKE-2416	Фарундиец
falconz100-4513	Pisitteddu
fannibal-5495	Goblinon
fcluster-4006	VinoMirage
feks-6584	feks_CWEL
fenriz_84-1059	Emptyrage
fiYah_82-7113	Mir_GatlingGun_Hiero
firefistx-4925	Fire_DaddyLongNeck
firpi-7209	fishen_nICEpolice
firstmurloc_-5781	LOGIN_PROJECT_DIABLOTWO
fizzovo-1282	xkkklzxio
flyinghigh42-0275	Stickyickyz
forgottentorch-3644	МистерБомжик
fouronthefloor-6174	FOUR_ON_THE_FLOOR
freavate-5770	freavate___kb
fredred375-1217	CastOnMirrorBreak
full99-2711	Mirage_Alandriel
g1oomey-4338	CopiumManaBoy
gaerty21-2294	StinkusMiragus
gagarot-0833	rfrungun
gamerpivnickiy-5850	Fluxir
gamezocker-3682	MirageMyBalls_
gavisrin-4738	PENIS_BOT
gdm12322-5451	Yethello_Mirage
genetik2811-3234	GenetikBlast
genius100-7251	Ciento_Mirage_M
gepj0007-5567	ББЛАНТИК
ggz7yy-7184	reroll_forgothowtoplay
ghdgjsdud-7932	fjseafasdf
gi892457-9563	mirage_SOT
ginta123123-2077	ToxicFinder_Mirage
glissa484-5158	SOYPOBRE
glory242-7975	KFtotemOjiisan_Mirage
gloverboneros-5020	culling_konfetkaodin
gnarf37-0441	gnaRFmeta
gnirman-1216	kamusari_chuck
gnomehax-1581	fubgooners_cuck_chair
goddns84-1995	conmaniE
godet2-2794	할아비는진리
godwarden-0822	EagleEagleEagle
goetchka-5746	PukeBoiBleh
gomubaek-1421	DaramG
grAv0r-7839	grAvFromBehindBussy
gramafonadam-6122	Mamherewegoagain
grimmjoww66-5657	grimmelehit
gtr039669-6357	午夜的傾心旋律雨月忍最強
gudududu-3678	元神不是区蓝色女人真的猛
guilhermecpa-5233	Selthdomainer
guitopgzed-7130	PythonStrikeoftheNaja
gvieira-7895	vieira
gxT-6910	StackerSlamer
h4rdc0r31-3492	ImSorry_LagsLover
hahaa-0190	CAST_ON_SHOCKING_KAYA
hakudalover-1659	ngayngubontieng
halowing1-1937	Mirage_halowing
hamuri-3166	aaru_mirage
hausoclao11-5034	Haajuwu_Frieren
helgi-0119	relativisticBalls
helloworld666-5095	Tyler_Durdenn
henrik410-4759	broisbald
henripeegel-6092	Grizzyx
heokoy99-2100	Mirage_HeoKoy
heyjay-7568	ProjectYesChef
hieunmceft-1992	HieuGCF
higoong-5266	Mirage_Manager
hiq3000-7052	cryccc
hispanicjesus-5637	HOLYLIGHTNIGHTMAN
hlw_rocer-6364	DoonKBOC
ho1119-4814	HonineBackToBasic
hoanghao2-1368	Koaalaaaaa
howard85896-9411	嘣嘣嘎碰
hunterbbpoe-5606	Mirage_Ficker
huohuo1995-4997	月影风灵
huricane2000-7360	Xora_Miraaaaage
hurric8ne-2506	dubok_dubovik
husker3011-3122	ZigguratNightmareMap
hyunnguyen151090-5518	DeepSpaceDayMot
iCutter-6483	PotionSellerAura
iDei-1549	CreatinyHeroRankMogged
i_NFERNO-3029	OXOTNIK_na_SHALAV
iceekk101-1793	Ewwwww_Sparking_Mirage
idontknow123321-7258	idkmirage
iglo3141-4711	Giraffe_Mirage_X
ilovepuck-0379	Auramitallem
imarunk-4377	JesterGoonedAgartha
imgal233-2520	pangbaobao
imkitingulol-7824	immeleeinguagainlol
imre-2864	Holycobite
inestapoe2-4479	inya_mi
infinityblue55-5530	lyciasfriend
infravision2-4765	GTGAC
innnosense-4542	OvercomeYearning
insobyr-6496	ProbablySaltyFish
instantgrant-3871	grant_mirage
ioios09-2639	Mirage_Trapsin
iot4-7243	MR_RFagain
ipsycho1337-7998	NoTouchy_KF
iron883-4606	OldButGold_
iss1984-6135	老杜二十九
iweber95-3993	Pepe_Mirage
ixaltairxi-5606	Branor_Brutestrike
iyield-4433	ilovegothsluts
izdmqzi-0624	htirx
j1023-0507	Mirage_pepsi
j1epexa666-0931	Askonkas
j3k2h-1593	dgfhfdgjgfhj
j_tom47-4761	Jeenus
jaaaaaas-1165	JASMirageZerkinIt
jackbus-0795	HolyTorah
